build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-2026-05-30T18-33-01.385Z.json,0.1603,-5.24,False,1.0,,3.407,stopped,3.392,0.311,3.3
by-build,stroke-2026-05-30T18-33-10.135Z.json,0.1831,-5.82,False,1.0,,4.446,stopped,4.423,0.451,3.783
by-build,stroke-2026-05-30T18-33-16.318Z.json,0.2131,-9.07,False,1.0,,6.025,stopped,5.95,0.95,4.417
by-build,stroke-2026-05-30T18-33-26.587Z.json,0.1538,-8.58,False,1.0,,3.135,stopped,3.1,0.468,3.167
by-build,stroke-2026-05-30T18-33-35.953Z.json,0.2073,-4.59,False,1.0,,5.702,stopped,5.684,0.456,4.3
by-build,stroke-A-1-2026-05-30T23-50-41.116Z.json,0.1798,-11.84,False,1.0,late,4.289,stopped,4.197,0.88,3.717
by-build,stroke-A-2-2026-05-30T23-50-47.219Z.json,0.2023,-6.08,False,1.0,late,5.429,stopped,5.399,0.575,4.183
by-build,stroke-A-3-2026-05-30T23-50-53.920Z.json,0.1571,-6.88,False,1.0,late,3.272,stopped,3.248,0.392,3.233
by-build,stroke-A-4-2026-05-30T23-50-58.767Z.json,0.2474,-9.16,False,1.0,late,8.127,stopped,8.024,1.294,5.133
by-build,stroke-A-5-2026-05-30T23-51-05.903Z.json,0.2801,-8.54,False,1.0,late,10.422,stopped,10.306,1.547,5.833
by-build,stroke-A-6-2026-05-30T23-51-11.317Z.json,0.2108,-10.14,False,1.0,late,5.895,stopped,5.803,1.038,4.367
by-build,stroke-A-7-2026-05-30T23-51-17.619Z.json,0.2233,-13.42,False,1.0,late,6.62,stopped,6.439,1.537,4.633
by-build,stroke-cal-1-2026-05-30T23-49-56.450Z.json,0.2004,-4.97,False,1.0,late,5.329,stopped,5.309,0.462,4.15
by-build,stroke-cal-2-2026-05-30T23-50-04.117Z.json,0.1247,-9.59,False,1.0,early,2.058,stopped,2.029,0.343,2.55
by-build,stroke-cal-3-2026-05-30T23-50-13.499Z.json,0.1971,-11.97,False,1.0,late,5.154,stopped,5.042,1.069,4.083
by-build,stroke-cal-4-2026-05-30T23-50-22.100Z.json,0.2458,-12.21,False,1.0,late,8.023,stopped,7.841,1.696,5.1
by-build,stroke-cal-5-2026-05-30T23-50-30.332Z.json,0.1938,-6.54,False,1.0,late,4.984,stopped,4.951,0.568,4.017
by-build,stroke-A-1-2026-05-31T00-14-58.524Z.json,0.1715,-7.59,False,1.0,late,3.897,stopped,3.863,0.514,3.533
by-build,stroke-A-10-2026-05-31T00-16-03.142Z.json,0.2122,-9.68,False,1.0,early,5.979,stopped,5.894,1.006,4.4
by-build,stroke-A-11-2026-05-31T00-16-08.026Z.json,0.189,-5.82,False,1.0,just_right,4.74,stopped,4.715,0.481,3.917
by-build,stroke-A-12-2026-05-31T00-16-13.226Z.json,0.1766,-7.49,False,1.0,early,4.134,stopped,4.098,0.539,3.65
by-build,stroke-A-13-2026-05-31T00-16-19.194Z.json,0.1591,-6.66,False,1.0,just_right,3.353,stopped,3.33,0.389,3.283
by-build,stroke-A-14-2026-05-31T00-16-24.609Z.json,0.1431,-7.6,False,1.0,just_right,2.712,stopped,2.688,0.359,2.95
by-build,stroke-A-15-2026-05-31T00-16-29.593Z.json,0.214,-7.63,False,1.0,early,6.079,stopped,6.025,0.807,4.433
by-build,stroke-A-16-2026-05-31T00-16-35.376Z.json,0.2453,-7.86,False,1.0,early,7.991,stopped,7.916,1.093,5.1
by-build,stroke-A-17-2026-05-31T00-16-40.477Z.json,0.1386,-4.93,False,1.0,just_right,2.543,stopped,2.533,0.218,2.85
by-build,stroke-A-18-2026-05-31T00-16-46.927Z.json,0.2191,-8.08,False,1.0,early,6.373,stopped,6.31,0.896,4.55
by-build,stroke-A-19-2026-05-31T00-16-51.644Z.json,0.1419,-5.45,False,1.0,just_right,2.667,stopped,2.654,0.253,2.917
by-build,stroke-A-2-2026-05-31T00-15-05.790Z.json,0.1947,-6.7,False,1.0,just_right,5.029,stopped,4.995,0.586,4.033
by-build,stroke-A-20-2026-05-31T00-16-56.662Z.json,0.1244,-7.89,False,1.0,just_right,2.048,stopped,2.029,0.281,2.55
by-build,stroke-A-3-2026-05-31T00-15-12.357Z.json,0.1812,-7.83,False,1.0,early,4.354,stopped,4.313,0.593,3.75
by-build,stroke-A-4-2026-05-31T00-15-23.492Z.json,0.0,0.0,True,0.0,,0.0,stopped,0.0,0.0,0.0
by-build,stroke-A-5-2026-05-31T00-15-30.157Z.json,0.1838,-6.97,False,1.0,early,4.48,stopped,4.447,0.544,3.8
by-build,stroke-A-6-2026-05-31T00-15-35.575Z.json,0.0,0.0,True,0.0,,0.0,stopped,0.0,0.0,0.0
by-build,stroke-A-7-2026-05-31T00-15-46.176Z.json,0.1762,-7.03,False,1.0,early,4.116,stopped,4.085,0.504,3.633
by-build,stroke-A-8-2026-05-31T00-15-52.042Z.json,0.1563,-2.84,False,1.0,just_right,3.239,stopped,3.235,0.161,3.217
by-build,stroke-A-9-2026-05-31T00-15-57.393Z.json,0.1665,-5.94,False,1.0,just_right,3.676,stopped,3.656,0.38,3.433
by-build,stroke-B-1-2026-05-31T00-17-28.411Z.json,0.1705,19.89,False,1.0,early,3.853,stopped,3.623,-1.311,3.517
by-build,stroke-B-10-2026-05-31T00-18-35.131Z.json,0.1041,-0.29,False,1.0,just_right,1.432,stopped,1.432,0.007,2.117
by-build,stroke-B-11-2026-05-31T00-18-41.916Z.json,0.1494,14.05,False,1.0,early,2.957,stopped,2.869,-0.718,3.083
by-build,stroke-B-12-2026-05-31T00-18-46.883Z.json,0.2147,1.35,False,1.0,early,6.119,lipOut,6.117,-0.145,4.45
by-build,stroke-B-13-2026-05-31T00-18-56.468Z.json,0.0885,-8.24,False,1.0,early,1.031,stopped,1.02,0.148,1.783
by-build,stroke-B-14-2026-05-31T00-19-02.516Z.json,0.1285,19.72,False,1.0,early,2.186,stopped,2.058,-0.738,2.633
by-build,stroke-B-15-2026-05-31T00-19-10.200Z.json,0.1611,26.85,False,1.0,early,3.441,stopped,3.07,-1.554,3.317
by-build,stroke-B-2-2026-05-31T00-17-37.979Z.json,0.1942,9.18,False,1.0,just_right,5.005,stopped,4.941,-0.799,4.017
by-build,stroke-B-3-2026-05-31T00-17-48.179Z.json,0.157,6.34,False,1.0,early,3.266,stopped,3.246,-0.36,3.233
by-build,stroke-B-4-2026-05-31T00-17-59.180Z.json,0.1599,2.49,False,1.0,early,3.389,stopped,3.386,-0.147,3.3
by-build,stroke-B-5-2026-05-31T00-18-06.397Z.json,0.1971,14.5,False,1.0,just_right,5.154,stopped,4.99,-1.291,4.083
by-build,stroke-B-6-2026-05-31T00-18-14.097Z.json,0.1446,13.01,False,1.0,early,2.768,stopped,2.697,-0.623,2.967
by-build,stroke-B-7-2026-05-31T00-18-20.381Z.json,0.1044,33.78,False,1.0,early,1.439,stopped,1.196,-0.8,2.133
by-build,stroke-B-8-2026-05-31T00-18-25.180Z.json,0.1496,8.35,False,1.0,just_right,2.966,stopped,2.935,-0.431,3.083
